0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
53.8329,45.9983,53.6131,50.5658,54.007,53.656,50.1429,46.248,49.9529,50.0042,50.0574,54.0756,46.194,46.0953,46.206,50.1312,46.0068,53.4989,2.2
53.8799,45.9461,53.7855,50.5753,54.0466,53.6836,50.1899,46.1974,49.9915,50.0007,50.0587,54.1326,46.113,46.0301,46.1371,50.0986,45.9967,53.9202,2.25
53.92,45.937,53.8695,50.5868,54.0781,53.7356,50.1995,46.1426,49.9855,50.0183,50.097,54.2117,46.0488,46.0338,46.0996,50.0886,45.8718,53.9444,2.3
54.0147,45.8856,54.0269,50.5727,54.1637,53.8591,50.2285,46.0854,50.0015,49.9995,50.0632,54.1878,46.0177,45.9469,46.0496,50.0676,45.8117,53.9359,2.35
54.0621,45.9275,54.1168,50.6496,54.1108,54.0209,50.2156,46.0283,50.0002,49.9951,50.0836,54.22,45.9965,45.9187,45.9612,50.0458,45.8131,54.0107,2.4
54.1806,45.4989,54.1735,50.6569,54.1228,54.1039,50.2001,45.9916,50.0214,49.9796,50.0295,54.2756,45.8138,45.8639,45.8753,50.0945,45.8381,54.0519,2.45
54.1664,45.5191,54.1983,50.6821,54.1704,54.1701,50.2304,45.9526,50.0167,49.9664,50.0267,54.7025,45.8083,45.7928,45.8417,50.0984,45.8207,54.1349,2.5
54.2364,45.461,54.47,50.5791,54.6605,54.1612,50.2649,45.8824,50.0112,49.9668,50.0197,54.7463,45.3755,45.8374,45.7503,50.1203,45.8121,54.1191,2.55
54.2077,45.3667,54.5346,50.609,54.748,54.2349,50.2469,45.858,49.9705,49.9589,49.957,54.8137,45.2623,45.7594,45.652,50.1581,45.6099,54.2913,2.6
54.3318,45.3788,54.5479,50.6069,54.8068,54.164,50.2424,45.763,50.0079,49.9466,49.9371,54.8397,45.1867,45.672,45.3063,50.1448,45.5958,54.3336,2.65
54.3251,45.2038,54.6236,50.6014,54.8325,54.3068,50.2733,45.7198,49.9913,49.937,50.0204,54.9965,45.2326,45.5786,45.1785,50.1407,45.1683,54.2997,2.7
54.3256,45.1162,54.5987,50.582,54.9168,54.277,50.3118,45.712,49.9955,49.9378,49.9862,55.1182,45.1359,45.176,45.1823,50.1943,45.1279,54.3067,2.75
54.4569,44.9201,54.7158,50.6214,54.9517,54.3295,50.2948,45.659,49.9734,49.942,50.0474,55.1924,45.0816,45.1351,45.1078,50.1318,45.0369,54.3294,2.8
54.8052,44.9491,54.751,50.5844,55.046,54.3572,50.2994,45.2895,50.0065,49.9212,50.0747,55.2282,44.9625,45.109,45.0141,50.1573,45.0067,54.4914,2.85
54.895,44.9181,54.8525,50.5998,55.0502,54.3686,50.3022,45.25,50.0147,49.9455,49.9243,55.1851,44.8971,45.0273,45.0167,50.1348,44.8696,54.8942,2.9
54.9614,44.8639,54.9977,50.5736,55.1232,54.8556,50.536,45.1416,49.9771,49.9198,49.9627,55.2333,44.9866,44.9223,44.95,50.149,44.861,54.571,2.95
55.0282,44.4612,55.0319,50.6001,55.0977,54.9552,50.3007,45.0515,49.9804,49.9337,50.0054,55.7228,44.9047,44.9024,44.9451,50.1244,44.7856,55.102,3.0
49.9405,50.0358,49.9959,50.0206,49.9609,49.9083,49.9822,50.0605,49.9981,49.997,50.007,49.8686,50.0562,50.0229,50.0411,50.0243,50.0563,49.9118,-0.05
49.96,50.0719,49.9471,50.0077,49.9371,49.9405,49.9927,50.0535,50.0036,49.9923,49.923,49.9167,50.1166,50.0295,50.0621,49.9766,50.0794,49.8646,-0.1
49.8987,50.1239,49.9055,49.939,49.9288,49.9609,49.9809,50.0966,50.0256,50.0109,50.0322,49.932,50.1378,50.1117,50.0795,50.0136,50.1934,49.8222,-0.15
49.8164,50.1239,49.9198,49.9065,49.8929,49.8622,50.0122,50.0914,50.0328,50.0251,49.956,49.8469,50.1684,50.1531,50.113,49.9086,50.1934,49.7369,-0.2
49.694,50.2519,49.8116,49.9215,49.7978,49.7556,49.986,50.2091,50.0109,50.0456,50.0306,49.7427,50.3132,50.2321,50.1548,49.8848,50.2532,49.6119,-0.25
49.328,50.6933,49.6158,49.959,49.3029,49.5912,49.9652,50.7882,49.9996,50.0543,49.9791,49.2658,50.6995,50.6697,50.6246,49.9308,50.6707,49.4015,-0.3
49.2354,50.7971,49.2448,49.9639,49.1651,49.1839,49.9678,50.8788,50.0062,50.017,50.0003,49.1215,50.8044,50.7855,50.834,49.9809,50.7303,49.3194,-0.35
49.0937,50.8698,49.1215,49.9531,49.1321,49.1299,49.9857,50.8903,50.0062,50.0122,49.9779,49.1139,50.8711,50.8082,50.8966,50.0202,50.7849,49.2027,-0.4
